2011Zones,Bus Accessbility Count
Woodside - 03,54.06
Woodside - 04,63.74
Woodside - 05,79.01
Hilton - 01,42.28
Hilton - 02,41.96
Hilton - 03,35.24
Hilton - 04,26.5
Hilton - 05,48.32
Hilton - 06,109.53
Hilton - 07,67.89
Hilton - 08,61.14
Stockethill - 01,37.85
Stockethill - 02,23.12
Stockethill - 03,50.42
Stockethill - 04,43.67
Stockethill - 05,60.81
Stockethill - 06,19.71
Stockethill - 07,26.33
Mastrick - 02,21.19
Mastrick - 03,40.67
Mastrick - 04,25.82
Mastrick - 05,26.6
Mastrick - 06,21.72
Sheddocksley - 01,17.86
Sheddocksley - 02,38.83
Sheddocksley - 03,28.63
Sheddocksley - 04,25.55
Sheddocksley - 05,7.15
Sheddocksley - 06,40.91
Cummings Park - 01,57.38
Cummings Park - 02,23.6
Cummings Park - 04,37.51
Cummings Park - 05,38.83
Northfield - 01,36.81
Northfield - 02,57
Northfield - 03,68.19
Northfield - 04,50.88
Northfield - 05,73.1
Northfield - 07,54.05
Heathryfold and Middlefield - 01,76.83
Heathryfold and Middlefield - 03,50.97
Heathryfold and Middlefield - 04,35.64
Heathryfold and Middlefield - 05,53.16
Heathryfold and Middlefield - 06,44.94
Kingswells - 01,0.66
Kingswells - 02,1.96
Kingswells - 03,3.38
Kingswells - 04,5.71
Kingswells - 05,3.17
Kingswells - 06,5.85
Bucksburn South - 01,53.47
Bucksburn South - 02,79.05
Bucksburn South - 03,35.55
Bucksburn South - 04,35.88
Bucksburn South - 05,25.51
Bucksburn North - 01,10.3
Bucksburn North - 02,11.09
Bucksburn North - 03,40.41
Bucksburn North - 04,29.8
Bucksburn North - 05,6.76
Bucksburn North - 06,9.87
Dyce - 01,12.79
Dyce - 02,24.46
Dyce - 03,17.53
Dyce - 04,11.17
Dyce - 05,15.1
Dyce - 06,8.6
Dyce - 07,8.43
Danestone - 01,5.59
Danestone - 02,22.36
Danestone - 03,14.77
Danestone - 04,17.71
Danestone - 05,24.86
Danestone - 06,16.25
Oldmachar West - 01,12.25
Oldmachar West - 02,9.31
Oldmachar West - 03,9.54
Oldmachar West - 04,5.01
Oldmachar West - 05,8.66
Oldmachar West - 06,7.42
Oldmachar East - 01,3.11
Oldmachar East - 02,4.73
Oldmachar East - 03,5.05
Oldmachar East - 05,19.16
Oldmachar East - 06,16.11
Oldmachar East - 07,1.33
Balgownie and Donmouth West - 01,7.45
Balgownie and Donmouth West - 02,17.16
Balgownie and Donmouth West - 03,13.32
Balgownie and Donmouth West - 04,17.33
Balgownie and Donmouth West - 05,22.52
Balgownie and Donmouth West - 06,22.2
Balgownie and Donmouth East - 01,14.81
Balgownie and Donmouth East - 02,52.18
Balgownie and Donmouth East - 03,32.49
Balgownie and Donmouth East - 04,58.29
Denmore - 01,11.18
Denmore - 02,15.94
Denmore - 03,8.6
Denmore - 04,7.19
East Cairngorms - 01,4.27
East Cairngorms - 02,3.42
East Cairngorms - 03,0
East Cairngorms - 04,0
East Cairngorms - 05,1.12
Aboyne and South Deeside - 01,0.54
Aboyne and South Deeside - 02,4.08
Aboyne and South Deeside - 03,1.49
Aboyne and South Deeside - 04,0
Aboyne and South Deeside - 05,0.4
Aboyne and South Deeside - 06,1.7
Aboyne and South Deeside - 07,0.06
Mearns and Laurencekirk - 01,0.2
Mearns and Laurencekirk - 02,0
Mearns and Laurencekirk - 03,4.12
Mearns and Laurencekirk - 04,1.74
Mearns and Laurencekirk - 05,4.09
Mearns South and Benholm - 01,0.99
Mearns South and Benholm - 02,0.55
Mearns South and Benholm - 03,0.41
Mearns South and Benholm - 04,2.66
Mearns South and Benholm - 05,2.06
Mearns North and Inverbervie - 01,0.46
Mearns North and Inverbervie - 02,0.21
Mearns North and Inverbervie - 03,4.17
Mearns North and Inverbervie - 04,1.61
Mearns North and Inverbervie - 05,2.69
Mearns North and Inverbervie - 06,3.7
Mearns North and Inverbervie - 07,1.48
"Fetteresso, Netherley and Catter - 01",0.84
"Fetteresso, Netherley and Catter - 02",0
"Fetteresso, Netherley and Catter - 03",0.68
"Fetteresso, Netherley and Catter - 04",0
"Fetteresso, Netherley and Catter - 05",0
Stonehaven South - 01,8.96
Stonehaven South - 02,15.39
Stonehaven South - 03,7.41
Stonehaven South - 04,4.86
Stonehaven South - 05,17.41
Stonehaven South - 06,8.62
Stonehaven South - 07,1.41
Stonehaven North - 01,2.56
Stonehaven North - 02,0.39
Stonehaven North - 03,15.58
Stonehaven North - 04,5.58
Stonehaven North - 05,3.37
Stonehaven North - 06,17.51
Stonehaven North - 07,1.35
Stonehaven North - 08,4.68
Stonehaven North - 09,6.81
Newtonhill - 01,4.55
Newtonhill - 02,7.65
Newtonhill - 03,0.08
Portlethen - 01,9.86
Portlethen - 02,2.27
Portlethen - 03,5.3
Portlethen - 04,10.05
Portlethen - 05,8.19
Portlethen - 06,7.96
Banchory-Devenick and Findon - 01,0.98
Banchory-Devenick and Findon - 02,0
Banchory-Devenick and Findon - 03,2.24
Banchory-Devenick and Findon - 04,13.78
Banchory-Devenick and Findon - 05,0
"Dunecht, Durris and Drumoak - 01",0.01
"Dunecht, Durris and Drumoak - 02",4.16
"Dunecht, Durris and Drumoak - 03",0
"Dunecht, Durris and Drumoak - 04",0.93
"Dunecht, Durris and Drumoak - 05",0.01
"Dunecht, Durris and Drumoak - 06",0
Banchory East - 01,0.03
Banchory East - 02,10.44
Banchory East - 03,1.72
Banchory East - 04,3.49
Banchory East - 05,3.13
Banchory East - 06,1.14
Banchory West - 01,10.04
Banchory West - 02,7.88
Banchory West - 03,3.1
Banchory West - 04,7.42
Crathes and Torphins - 01,4.61
Crathes and Torphins - 02,1.06
Crathes and Torphins - 03,2.09
Crathes and Torphins - 04,0.69
Crathes and Torphins - 05,0.88
Crathes and Torphins - 06,0.35
Cromar and Kildrummy - 01,0.41
Cromar and Kildrummy - 02,0.56
Cromar and Kildrummy - 03,0
Cromar and Kildrummy - 04,0.53
Cromar and Kildrummy - 05,0.01
Howe of Alford - 01,0.44
Howe of Alford - 02,0.22
Howe of Alford - 03,5.37
Howe of Alford - 04,5.59
Howe of Alford - 05,3.58
Howe of Alford - 06,1.83
Howe of Alford - 07,0.74
Howe of Alford - 08,0
Howe of Alford - 09,0.16
Kemnay - 01,9.37
Kemnay - 02,5.54
Kemnay - 03,9.6
Kemnay - 04,4.73
Inverurie North - 01,14.2
Inverurie North - 02,14.67
Inverurie North - 03,14.35
Inverurie North - 04,10.69
Inverurie North - 05,5.21
Inverurie North - 06,6.22
Inverurie North - 07,10.04
Inverurie North - 08,16.3
Inverurie South - 01,2.99
Inverurie South - 02,19.59
Inverurie South - 03,27.05
Inverurie South - 04,19.76
Inverurie South - 05,7.75
Inverurie South - 06,32.82
Inverurie South - 07,23.58
Durno-Chapel of Garioch - 01,1.11
Durno-Chapel of Garioch - 02,0.61
Durno-Chapel of Garioch - 03,3.4
Durno-Chapel of Garioch - 04,0
Durno-Chapel of Garioch - 05,3.15
Durno-Chapel of Garioch - 06,0.63
Durno-Chapel of Garioch - 07,0
Kintore - 01,8.49
Kintore - 02,6.97
Kintore - 03,5.78
Kintore - 04,3.24
Kintore - 05,12.63
Kintore - 06,5.8
Kintore - 07,0.27
Kintore - 08,5.18
Kintore - 09,0.01
Blackburn - 01,0.36
Blackburn - 02,2.69
Blackburn - 03,0.03
Blackburn - 04,7.84
Westhill North and South - 01,0.12
Westhill North and South - 02,3.17
Westhill North and South - 03,0.07
Westhill North and South - 04,3.97
Westhill North and South - 05,12.72
Westhill North and South - 06,0.21
Westhill Central - 01,5.84
Westhill Central - 02,11.49
Westhill Central - 03,2.46
Westhill Central - 04,20.64
Westhill Central - 05,18.73
Westhill Central - 06,10.7
Garlogie and Elrick - 01,21.85
Garlogie and Elrick - 02,15.28
Garlogie and Elrick - 03,14.22
Garlogie and Elrick - 04,13.68
Garlogie and Elrick - 05,5.14
Newmachar and Fintray - 01,1.51
Newmachar and Fintray - 02,6.52
Newmachar and Fintray - 03,4.59
Newmachar and Fintray - 04,0
Newmachar and Fintray - 05,0.01
Newmachar and Fintray - 06,1.69
Balmedie and Potterton - 01,0.61
Balmedie and Potterton - 02,3.16
Balmedie and Potterton - 03,1.44
Balmedie and Potterton - 04,3.61
Balmedie and Potterton - 05,3.78
Balmedie and Potterton - 06,2.1
Ellon East - 01,11.83
Ellon East - 02,13.46
Ellon East - 03,2.4
Ellon East - 04,2.84
Ellon East - 05,17.3
Ellon East - 06,4.88
Ellon East - 07,9.77
Ellon West - 02,2
Ellon West - 03,0.49
Ellon West - 04,6.44
Ellon West - 05,6.06
Ellon West - 06,1.31
Ellon West - 07,6.97
Ythanside - 01,0
Ythanside - 02,3.62
Ythanside - 03,8.39
Ythanside - 04,0.41
Ythanside - 05,0.24
Ythanside - 06,2.83
Ythsie - 01,0.48
Ythsie - 02,2.41
Ythsie - 03,1.19
Ythsie - 04,0.87
Ythsie - 05,5.02
Ythsie - 06,4.12
Ythsie - 07,0.52
Barrahill - 01,3.98
Barrahill - 02,6.51
Barrahill - 03,14.08
Barrahill - 04,2.35
Barrahill - 05,0.54
Barrahill - 06,0
Fyvie-Rothie - 01,22.42
Fyvie-Rothie - 02,0
Fyvie-Rothie - 03,0
Fyvie-Rothie - 04,1.2
Fyvie-Rothie - 05,0.03
Fyvie-Rothie - 06,0.54
"Insch, Oyne and Ythanwells - 01",0.65
"Insch, Oyne and Ythanwells - 02",0.48
"Insch, Oyne and Ythanwells - 03",0
"Insch, Oyne and Ythanwells - 04",1.37
"Insch, Oyne and Ythanwells - 05",2.5
Clashindarroch - 01,1.02
Clashindarroch - 02,0
Clashindarroch - 03,0.17
Clashindarroch - 04,0.23
Clashindarroch - 05,1.11
Clashindarroch - 06,0
Huntly - 01,5.9
Huntly - 02,1.28
Huntly - 03,2.55
Huntly - 04,9.77
Huntly - 05,0.73
Auchterless and Monquhitter - 01,0
Auchterless and Monquhitter - 02,0
Auchterless and Monquhitter - 03,0
Auchterless and Monquhitter - 04,0.06
Turriff - 01,4.35
Turriff - 02,0
Turriff - 03,6.26
Turriff - 04,6.81
Turriff - 05,1.73
Turriff - 06,0.12
"Portsoy, Fordyce and Cornhill - 01",0.62
"Portsoy, Fordyce and Cornhill - 02",0.37
"Portsoy, Fordyce and Cornhill - 03",0.59
"Portsoy, Fordyce and Cornhill - 04",3.12
Aberchirder and Whitehills - 01,5
Aberchirder and Whitehills - 02,0.83
Aberchirder and Whitehills - 03,0
Aberchirder and Whitehills - 04,0.58
Aberchirder and Whitehills - 05,1.44
Banff - 01,15.16
Banff - 02,7.14
Banff - 03,9.82
Banff - 04,6.19
Banff - 05,4.03
Macduff - 01,12.01
Macduff - 02,25.01
Macduff - 03,4.52
Macduff - 04,16.14
Macduff - 05,12.79
Gardenstown and King Edward - 01,0.68
Gardenstown and King Edward - 02,0.51
Gardenstown and King Edward - 03,0.85
Gardenstown and King Edward - 04,0.14
New Pitsligo - 01,0.66
New Pitsligo - 02,0.78
New Pitsligo - 03,0.18
New Pitsligo - 04,3.69
Deer and Mormond - 01,1.34
Deer and Mormond - 02,1.09
Deer and Mormond - 03,0.73
Deer and Mormond - 04,0.21
Deer and Mormond - 05,9.09
Deer and Mormond - 06,0
Deer and Mormond - 07,0
Mintlaw - 01,2.91
Mintlaw - 02,8.96
Mintlaw - 03,3.3
Mintlaw - 04,4.99
Auchnagatt - 01,0.07
Auchnagatt - 02,0
Auchnagatt - 03,1.26
Auchnagatt - 04,0.54
Cruden - 01,1.87
Cruden - 02,0.3
Cruden - 03,2.7
Cruden - 04,3.21
Cruden - 05,6.84
Cruden - 06,7.39
Cruden - 07,0
Peterhead Links - 01,9.52
Peterhead Links - 02,14.83
Peterhead Links - 03,10.56
Peterhead Links - 04,9.62
Peterhead Links - 05,7.49
Peterhead Links - 06,5.61
Peterhead Bay - 01,9.01
Peterhead Bay - 02,13.63
Peterhead Bay - 03,19.29
Peterhead Harbour - 01,9.24
Peterhead Harbour - 02,8.65
Peterhead Harbour - 03,7.16
Peterhead Harbour - 04,14.39
Peterhead Harbour - 05,47.58
Peterhead Harbour - 06,41.48
Peterhead Harbour - 07,8.07
Peterhead Harbour - 08,13.43
Peterhead Ugieside - 01,2.6
Peterhead Ugieside - 02,11.76
Peterhead Ugieside - 03,3.68
Peterhead Ugieside - 04,17.39
Peterhead Ugieside - 05,3.67
Peterhead Ugieside - 06,9.59
Longside and Rattray - 01,0.42
Longside and Rattray - 02,1.82
Longside and Rattray - 03,1.57
Longside and Rattray - 04,1.53
Longside and Rattray - 05,2.02
Longside and Rattray - 06,1.84
Longside and Rattray - 07,7.71
Longside and Rattray - 08,0
Rosehearty and Strathbeg - 01,6.93
Rosehearty and Strathbeg - 02,0
Rosehearty and Strathbeg - 03,0.5
Rosehearty and Strathbeg - 04,2.78
Rosehearty and Strathbeg - 05,0.81
Rosehearty and Strathbeg - 06,0
Rosehearty and Strathbeg - 07,5.89
Rosehearty and Strathbeg - 08,5.97
Rosehearty and Strathbeg - 09,6.41
Fraserburgh Smiddyhill - 01,6.07
Fraserburgh Smiddyhill - 02,25.87
Fraserburgh Smiddyhill - 03,18.97
Fraserburgh Smiddyhill - 04,6.17
Fraserburgh Smiddyhill - 05,1.85
Fraserburgh Smiddyhill - 06,5.79
Fraserburgh Lochpots - 01,16.46
Fraserburgh Lochpots - 03,7.52
Fraserburgh Central-Academy - 02,22.77
Fraserburgh Central-Academy - 03,13.35
Fraserburgh Central-Academy - 04,14.88
Fraserburgh Harbour and Broadsea - 01,5.17
Fraserburgh Harbour and Broadsea - 03,18.19
Fraserburgh Harbour and Broadsea - 04,11.45
South Angus - 01,1.54
South Angus - 02,7.13
South Angus - 03,0.47
South Angus - 04,5.68
South Angus - 05,0.44
South Angus - 06,2.06
South Angus - 07,0.78
South Angus - 08,0
Monikie - 01,0.34
Monikie - 02,0.5
Monikie - 03,0.28
Monikie - 04,0.33
Monikie - 05,0.28
Monikie - 06,2.46
Monikie - 07,2.97
Monifieth West - 01,16.5
Monifieth West - 02,28.56
Monifieth West - 03,5.55
Monifieth West - 04,2.49
Monifieth East - 01,5.78
Monifieth East - 02,20.93
Monifieth East - 03,4.38
Monifieth East - 04,25.26
Monifieth East - 05,23.11
Monifieth East - 06,33.23
Monifieth East - 07,28.17
Carnoustie West - 01,14.89
Carnoustie West - 02,4.67
Carnoustie West - 03,3.22
Carnoustie West - 04,12.78
Carnoustie West - 05,9.29
Carnoustie West - 06,7.5
Carnoustie West - 07,9.53
Carnoustie East - 01,5.1
Carnoustie East - 02,10.29
Carnoustie East - 03,15.64
Carnoustie East - 04,8.48
Carnoustie East - 05,5.51
Carnoustie East - 06,4.3
Carnoustie East - 07,5.76
Arbroath Landward - 01,0
Arbroath Landward - 02,1.67
Arbroath Landward - 03,1.14
Arbroath Kirkton - 01,5.86
Arbroath Kirkton - 02,4.95
Arbroath Kirkton - 03,9.82
Arbroath Kirkton - 04,14.06
Arbroath Kirkton - 05,16.1
Arbroath Kirkton - 06,19.73
Arbroath Kirkton - 07,8.21
Arbroath Keptie - 01,11.05
Arbroath Keptie - 02,4.25
Arbroath Keptie - 03,20.51
Arbroath Keptie - 04,15.26
Arbroath Harbour - 01,39.66
Arbroath Harbour - 02,13.82
Arbroath Harbour - 03,26.42
Arbroath Harbour - 04,25.51
Arbroath Harbour - 05,3.02
Arbroath Harbour - 06,10.12
Arbroath Cliffburn - 01,8.78
Arbroath Cliffburn - 02,12.43
Arbroath Cliffburn - 03,11.1
Arbroath Cliffburn - 04,6.39
Arbroath Cliffburn - 07,5.52
Arbroath Warddykes - 02,10.64
Arbroath Warddykes - 03,8.49
Arbroath Warddykes - 04,5.06
Arbroath Warddykes - 05,10.04
Arbroath Warddykes - 06,9.12
Arbroath Warddykes - 07,4.86
Lunan - 01,1.18
Lunan - 02,0
Lunan - 03,1.51
Lunan - 04,10.59
Montrose South - 01,8.64
Montrose South - 02,32.51
Montrose South - 03,1.07
Montrose South - 04,1.93
Montrose South - 05,1.35
Montrose South - 06,3.62
Montrose South - 07,27.2
Montrose North - 01,26.87
Montrose North - 02,12.05
Montrose North - 03,14.38
Montrose North - 04,10.46
Montrose North - 05,16.83
Montrose North - 06,14.8
Hillside - 01,3.88
Hillside - 02,5.07
Hillside - 03,2.75
Hillside - 04,3.73
Hillside - 05,0.28
Friockheim - 01,0.28
Friockheim - 02,12.12
Friockheim - 03,0.02
Friockheim - 04,0.1
Brechin East - 01,7.41
Brechin East - 02,8.72
Brechin East - 03,9.89
Brechin East - 04,5.83
Brechin East - 05,2.58
Brechin West - 01,17.42
Brechin West - 02,11.4
Brechin West - 03,7.36
Brechin West - 04,2.89
Brechin West - 05,4.04
Letham and Glamis - 01,0.03
Letham and Glamis - 02,1.21
Letham and Glamis - 03,2.18
Letham and Glamis - 04,3.35
Letham and Glamis - 05,1.76
Letham and Glamis - 06,0.88
Letham and Glamis - 07,1.78
Letham and Glamis - 08,0.69
Forfar East - 01,0.6
Forfar East - 02,9.25
Forfar East - 03,13.33
Forfar East - 04,13.06
Forfar East - 05,7.52
Forfar East - 06,7.4
Forfar Central - 01,13.86
Forfar Central - 02,9.88
Forfar Central - 03,28.34
Forfar Central - 04,34.17
Forfar Central - 05,11.98
Forfar Central - 06,19.98
Forfar West - 01,17.45
Forfar West - 02,5.85
Forfar West - 03,11.03
Forfar West - 04,4.04
Forfar West - 05,5.8
Forfar West - 06,14.44
Kirriemuir Landward - 01,1.67
Kirriemuir Landward - 02,0
Kirriemuir Landward - 03,0.29
Kirriemuir Landward - 04,0.73
Kirriemuir Landward - 05,1.69
Kirriemuir - 01,8.79
Kirriemuir - 02,6.07
Kirriemuir - 03,3.32
Kirriemuir - 04,6.86
Kirriemuir - 05,1.44
Kirriemuir - 06,2.42
Kirriemuir - 07,2.72
Kirriemuir - 08,1.82
Angus Glens - 01,0
Angus Glens - 02,0
Angus Glens - 03,0.25
Angus Glens - 04,0.03
Angus Glens - 05,1.52
"Mull, Iona, Coll and Tiree - 01",0.07
"Mull, Iona, Coll and Tiree - 02",0.31
"Mull, Iona, Coll and Tiree - 03",2.14
"Mull, Iona, Coll and Tiree - 04",0.06
"Mull, Iona, Coll and Tiree - 05",0.65
Oban South - 01,1.08
Oban South - 02,8.94
Oban South - 03,22.33
Oban South - 04,8.27
Oban South - 05,13.13
Oban South - 06,1.32
Oban South - 07,28.66
Oban South - 08,25.91
Oban North - 01,15.51
Oban North - 02,3.68
Oban North - 03,11.62
Oban North - 04,11.64
Benderloch Trail - 01,0.35
Benderloch Trail - 02,12.34
Benderloch Trail - 03,2.54
Benderloch Trail - 04,0.08
Benderloch Trail - 05,2.04
Benderloch Trail - 06,0.14
Benderloch Trail - 07,0
Loch Awe - 01,0
Loch Awe - 02,0.33
Loch Awe - 03,0.12
Mid Argyll - 01,0.08
Mid Argyll - 02,0
Mid Argyll - 03,0.32
Mid Argyll - 04,0.63
Greater Lochgilphead - 01,3.48
Greater Lochgilphead - 02,3.04
Greater Lochgilphead - 03,0.22
Greater Lochgilphead - 04,1.54
Greater Lochgilphead - 05,3.72
Knapdale - 01,0.19
Knapdale - 02,0.16
Knapdale - 03,0.73
Knapdale - 04,0.74
Whisky Isles - 01,0.11
Whisky Isles - 02,0.76
Whisky Isles - 03,0.28
Whisky Isles - 04,1.29
Whisky Isles - 05,1.09
Kintyre Trail - 01,0.02
Kintyre Trail - 02,0.44
Kintyre Trail - 03,1.25
Campbeltown - 01,2.66
Campbeltown - 02,18.12
Campbeltown - 03,12.27
Campbeltown - 04,18.05
Campbeltown - 05,11.29
Campbeltown - 06,28.73
Campbeltown - 07,6.98
Bute - 01,19.28
Bute - 02,10.1
Bute - 03,4.65
Bute - 04,1.32
Rothesay Town - 01,19.04
Rothesay Town - 03,29.09
Rothesay Town - 04,14.08
Rothesay Town - 06,11.22
Rothesay Town - 07,12.17
Cowal South - 01,1.17
Cowal South - 02,0.02
Cowal South - 03,3.78
Cowal South - 04,7.14
Cowal North - 01,1.03
Cowal North - 02,4.78
Cowal North - 03,0.68
Cowal North - 04,0.39
Hunter's Quay - 01,13.35
Hunter's Quay - 02,4.07
Hunter's Quay - 03,14.17
Hunter's Quay - 04,10.28
Hunter's Quay - 05,5.76
Hunter's Quay - 07,15.69
Dunoon - 01,9.29
Dunoon - 02,23.42
Dunoon - 03,6.85
Dunoon - 04,13.55
Dunoon - 05,29.09
Dunoon - 06,11.09
Dunoon - 07,5.96
Garelochhead - 01,0.77
Garelochhead - 02,1.53
Garelochhead - 03,1.92
Garelochhead - 04,3.71
Garelochhead - 05,1.62
Garelochhead - 06,3.04
Garelochhead - 07,8.76
Garelochhead - 08,5.18
Helensburgh West and Rhu - 01,2.08
Helensburgh West and Rhu - 02,2.59
Helensburgh West and Rhu - 03,2.84
Helensburgh West and Rhu - 04,3.85
Helensburgh West and Rhu - 05,6.48
Helensburgh West and Rhu - 06,0
Helensburgh North - 01,0.55
Helensburgh North - 02,0.42
Helensburgh North - 03,8.77
Helensburgh North - 05,0.22
Helensburgh North - 06,1.23
Helensburgh North - 07,9.75
Helensburgh Centre - 01,17.36
Helensburgh Centre - 02,24.55
Helensburgh Centre - 03,18.03
Helensburgh Centre - 04,3.89
Helensburgh East - 01,15.75
Helensburgh East - 03,15.8
Helensburgh East - 04,7.38
Helensburgh East - 05,0
Helensburgh East - 06,1.97
Lomond Shore - 01,0.52
Lomond Shore - 02,3.8
Lomond Shore - 03,3.75
Lomond Shore - 04,2.61
Lomond Shore - 05,2.94
Tullibody South - 01,2.91
Tullibody South - 02,21.41
Tullibody South - 03,28.08
Tullibody South - 04,1.97
Tullibody South - 05,1.59
Tullibody South - 06,0
Tullibody North and Glenochil - 01,25.02
Tullibody North and Glenochil - 03,0
Tullibody North and Glenochil - 04,27.27
Tullibody North and Glenochil - 05,26.1
Tullibody North and Glenochil - 06,0.47
Menstrie - 01,5.84
Menstrie - 02,16.44
Menstrie - 03,5.88
Menstrie - 04,8.89
Alva - 01,17.91
Alva - 02,30.59
Alva - 03,17.97
Alva - 04,28.09
Alva - 05,19.66
Alva - 06,11.37
Alva - 07,12.59
